,RootLat,RootLon,DesLat,DesLon,Tag,RootIndex,DesIndex
4,50.7205774,-1.874086,50.7205774,-1.874086,Byron,6,8
5,50.7205774,-1.874086,50.7205774,-1.874086,Byron,6,7
6,50.720543,-1.8734733,50.720543,-1.8734733,Byron,10,12
7,50.720543,-1.8734733,50.720543,-1.8734733,Byron,10,11
8,50.720533,-1.87429,50.7204919,-1.8745964,Byron,14,16
9,50.720533,-1.87429,50.720405,-1.8747268,Byron,14,15
10,50.7206488,-1.8757786,50.7204506,-1.8759622,Percy,19,21
11,50.7206488,-1.8757786,50.7205638,-1.8757946,Percy,19,20
12,50.7205638,-1.8757946,50.7204558,-1.8744686,Percy,20,23
13,50.7205638,-1.8757946,50.7203175,-1.8756174,Percy,20,22
14,50.7204506,-1.8759622,50.7204558,-1.8744686,Percy,21,23
15,50.7204506,-1.8759622,50.7203175,-1.8756174,Percy,21,22
16,50.720327,-1.8750706,50.7203123,-1.8750007,Percy,26,29
17,50.720327,-1.8750706,50.7203105,-1.8748195,Percy,26,28
18,50.7201043,-1.8753713,50.7200626,-1.8754617,Percy,31,33
19,50.7201043,-1.8753713,50.720204,-1.8753037,Percy,31,32
20,50.7204592,-1.8761013,50.7204287,-1.8749727,Mary,36,39
21,50.7204592,-1.8761013,50.7203175,-1.8756174,Mary,36,38
22,50.720327,-1.8750706,50.720327,-1.8750706,Mary,41,43
23,50.720327,-1.8750706,50.720327,-1.8750706,Mary,41,42
24,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary,44,46
25,50.7204059,-1.8748728,50.7204059,-1.8748728,Mary,44,45
26,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary,48,50
27,50.7204156,-1.8752579,50.7204156,-1.8752579,Mary,48,49
28,50.720404,-1.8759634,50.720404,-1.8759634,Mary,51,53
29,50.720404,-1.8759634,50.720404,-1.8759634,Mary,51,52
30,50.7202737,-1.8757976,50.7204287,-1.8749727,John,56,59
31,50.7202737,-1.8757976,50.7203175,-1.8756174,John,56,58
32,50.7202737,-1.8757976,50.7200843,-1.8756065,John,56,57
33,50.7204054,-1.8749399,50.7204054,-1.8749399,John,64,66
34,50.7204054,-1.8749399,50.7204054,-1.8749399,John,64,65
35,50.7203655,-1.8748388,50.7203655,-1.8748388,John,67,69
36,50.7203655,-1.8748388,50.7203655,-1.8748388,John,67,68
37,50.7202627,-1.8757817,50.7203499,-1.8758097,John,70,72
38,50.7202627,-1.8757817,50.7200626,-1.8754617,John,70,71
