,exitBranchIndex,Frequency,Lat,Lon
1,60,3,50.7205774,-1.874086
2,21,3,50.7204506,-1.8759622
3,24,3,50.720405,-1.8747268
4,40,3,50.7205774,-1.874086
5,39,3,50.7204287,-1.8749727
6,36,2,50.7204592,-1.8761013
7,15,2,50.720405,-1.8747268
8,29,2,50.7203123,-1.8750007
9,16,2,50.7204919,-1.8745964
10,19,2,50.7206488,-1.8757786
11,46,2,50.7204059,-1.8748728
12,45,2,50.7204059,-1.8748728
13,44,2,50.7204059,-1.8748728
14,43,2,50.720327,-1.8750706
15,41,2,50.720327,-1.8750706
17,22,2,50.7203175,-1.8756174
18,38,2,50.7203175,-1.8756174
19,23,2,50.7204558,-1.8744686
21,35,2,50.7207366,-1.8756622
22,33,2,50.7200626,-1.8754617
23,52,2,50.720404,-1.8759634
24,51,2,50.720404,-1.8759634
25,54,2,50.7202658,-1.8756928
26,11,2,50.720543,-1.8734733
27,1,2,50.7203374,-1.8759896
28,2,2,50.720304,-1.8758203
29,3,2,50.7202206,-1.8756434
30,6,2,50.7205774,-1.874086
31,7,2,50.7205774,-1.874086
32,55,2,50.7201856,-1.8757484
33,8,2,50.7205774,-1.874086
34,12,2,50.720543,-1.8734733
35,13,2,50.720531,-1.8741479
36,56,2,50.7202737,-1.8757976
37,28,2,50.7203105,-1.8748195
38,10,1,50.720543,-1.8734733
39,9,1,50.7203205,-1.8733245
40,20,1,50.7205638,-1.8757946
41,18,1,50.720983,-1.874483
42,5,1,50.7204558,-1.8744686
43,4,1,50.7203175,-1.8756174
44,17,1,50.72087,-1.874803
45,14,1,50.720533,-1.87429
46,25,1,50.720327,-1.8750706
47,26,1,50.720327,-1.8750706
48,27,1,50.720327,-1.8750706
49,72,1,50.7203499,-1.8758097
50,30,1,50.7200404,-1.8754931
51,58,1,50.7203175,-1.8756174
52,70,1,50.7202627,-1.8757817
53,69,1,50.7203655,-1.8748388
54,68,1,50.7203655,-1.8748388
55,67,1,50.7203655,-1.8748388
56,66,1,50.7204054,-1.8749399
57,65,1,50.7204054,-1.8749399
58,64,1,50.7204054,-1.8749399
59,63,1,50.720327,-1.8750706
60,62,1,50.7205774,-1.874086
61,61,1,50.7205774,-1.874086
62,73,1,50.7202899,-1.8755649
63,59,1,50.7204287,-1.8749727
64,57,1,50.7200843,-1.8756065
65,31,1,50.7201043,-1.8753713
66,53,1,50.720404,-1.8759634
67,50,1,50.7204156,-1.8752579
68,49,1,50.7204156,-1.8752579
69,48,1,50.7204156,-1.8752579
70,47,1,50.7204237,-1.8751131
71,42,1,50.720327,-1.8750706
74,37,1,50.7203092,-1.8759349
75,71,1,50.7200626,-1.8754617
76,34,1,50.7202914,-1.875251
77,32,1,50.720204,-1.8753037
