,Latitude,Longitude,Frequency
7,50.7205774,-1.874086,10
8,50.7205774,-1.874086,8
11,50.720543,-1.8734733,6
12,50.720543,-1.8734733,11
15,50.720405,-1.8747268,8
16,50.7204919,-1.8745964,5
20,50.7205638,-1.8757946,20
21,50.7204506,-1.8759622,14
22,50.7203175,-1.8756174,12
23,50.7204558,-1.8744686,13
28,50.7203105,-1.8748195,2
29,50.7203123,-1.8750007,10
32,50.720204,-1.8753037,5
33,50.7200626,-1.8754617,5
38,50.7203175,-1.8756174,17
39,50.7204287,-1.8749727,18
42,50.720327,-1.8750706,16
43,50.720327,-1.8750706,6
45,50.7204059,-1.8748728,5
46,50.7204059,-1.8748728,13
49,50.7204156,-1.8752579,5
50,50.7204156,-1.8752579,10
52,50.720404,-1.8759634,5
53,50.720404,-1.8759634,8
57,50.7200843,-1.8756065,7
58,50.7203175,-1.8756174,6
59,50.7204287,-1.8749727,6
65,50.7204054,-1.8749399,5
66,50.7204054,-1.8749399,4
68,50.7203655,-1.8748388,6
69,50.7203655,-1.8748388,3
71,50.7200626,-1.8754617,2
72,50.7203499,-1.8758097,7
