,0,1,2,3,4,5,6,7
0,16,22.05,14,"[3.0, 3.0]","[16, 15]",,,
1,21,25.55,19,"[9.0, 15.0]","[21, 20]",,,
2,23,94.12,21,"[9.0, 8.0]","[23, 22]",20.0,"[9.0, 8.0]","[23, 22]"
3,23,105.15,21,"[9.0, 8.0]","[23, 22]",20.0,"[9.0, 8.0]","[23, 22]"
4,29,5.19,26,"[6.0, 1.0]","[29, 28]",,,
5,33,7.87,31,"[4.0, 3.0]","[33, 32]",,,
6,39,79.52,36,"[13.0, 9.0]","[39, 38]",,,
7,59,60.58,56,"[3.0, 2.0, 3.0]","[59, 58, 57]",,,
8,58,13.59,56,"[3.0, 2.0, 3.0]","[59, 58, 57]",,,
9,72,9.89,70,"[3.0, 1.0]","[72, 71]",,,
